ingred_clean,dfg_clean,ingred_desc,simple_name,ingred_code,sample_id,Similarity,match,replace
salted butter,unsalted butter,"Butter, salted",Unsalted butter,1001,817,0.854,,
whipped salt butter,unsalted butter,"Butter, whipped, with salt",Unsalted butter,1002,817,0.539,,
oil anhydrous butter,unsalted butter,"Butter oil, anhydrous",Unsalted butter,1003,817,0.364,,
cheese blue,cheese cream,"Cheese, blue",cream cheese,1004,906,0.542,n,
cheese brick,cheese american,"Cheese, brick",American Cheese,1005,762,0.584,n,Sharp Chedder Cheese
cheese brie,cheese cream,"Cheese, brie",cream cheese,1006,906,0.586,n,
cheese camembert,cheese american,"Cheese, camembert",American Cheese,1007,762,0.465,n,
cheese cheddar,chedder sharp cheese,"Cheese, cheddar",Sharp Chedder Cheese,1009,764,0.683,,
cheese colby,cheese cream,"Cheese, colby",cream cheese,1011,906,0.463,n,Sharp Chedder Cheese
large small creamed cottage curd cheese,cottage cheese,"Cheese, cottage, creamed, large or small curd",Cottage cheese,1012,244,0.643,,
nonfat large small dry cottage uncreamed curd cheese,cottage cheese,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",Cottage cheese,1014,244,0.554,n,
milkfat lowfat 2 cottage cheese,cottage cheese,"Cheese, cottage, lowfat, 2% milkfat",Cottage cheese,1015,244,0.662,,
1 milkfat lowfat cottage cheese,cottage cheese,"Cheese, cottage, lowfat, 1% milkfat",Cottage cheese,1016,244,0.665,n,
cheese cream,cheese cream,"Cheese, cream",cream cheese,1017,906,1,,
cheese feta,cheese cream,"Cheese, feta",cream cheese,1019,906,0.54,n,
cheese fontina,cheese cream,"Cheese, fontina",cream cheese,1020,906,0.418,n,
cheese gouda,cheese cream,"Cheese, gouda",cream cheese,1022,906,0.429,n,
cheese gruyere,cheese cream,"Cheese, gruyere",cream cheese,1023,906,0.422,n,
cheese monterey,cheese cream,"Cheese, monterey",cream cheese,1025,906,0.471,n,
cheese whole milk mozzarella,skim mozarella part moisture cheese low,"Cheese, mozzarella, whole milk",Low Moisture part Skim Mozarella cheese,1026,245,0.587,,
milk skim part cheese mozzarella,skim mozarella part moisture cheese low,"Cheese, mozzarella, part skim milk",Low Moisture part Skim Mozarella cheese,1028,245,0.726,,
skim part moisture cheese low mozzarella,skim mozarella part moisture cheese low,"Cheese, mozzarella, low moisture, part-skim",Low Moisture part Skim Mozarella cheese,1029,245,0.916,,
cheese muenster,cheese cream,"Cheese, muenster",cream cheese,1030,906,0.439,n,
cheese parmesan grated,cheese cream,"Cheese, parmesan, grated",cream cheese,1032,906,0.436,n,
cheese parmesan hard,chedder sharp cheese,"Cheese, parmesan, hard",Sharp Chedder Cheese,1033,764,0.467,n,
cheese provolone,cheese cream,"Cheese, provolone",cream cheese,1035,906,0.376,n,
cheese milk ricotta whole,cottage cheese,"Cheese, ricotta, whole milk",Cottage cheese,1036,244,0.654,n,
ricotta milk skim part cheese,cottage cheese,"Cheese, ricotta, part skim milk",Cottage cheese,1037,244,0.581,n,
cheese romano,cheese cream,"Cheese, romano",cream cheese,1038,906,0.49,n,
cheese swiss,cheese cream,"Cheese, swiss",cream cheese,1040,906,0.485,n,
d fortified pasteurized american process cheese vitamin,cheese american,"Cheese, pasteurized process, American, fortified with vitamin D",American Cheese,1042,762,0.528,,
spread pasteurized american process cheese,cheese american,"Cheese spread, pasteurized process, American",American Cheese,1048,762,0.579,,
half fluid cream,half,"Cream, fluid, half and half",half and half,1049,904,0.631,,
cream fluid table light coffee,brewed coffee,"Cream, fluid, light (coffee cream or table cream)",brewed coffee,1050,903,0.453,n,half and half
light whipping fluid cream,philippine mariani dried mango,"Cream, fluid, light whipping",Dried Philippines Mango (Mariani),1052,524,0.33,n,half and half
whipping fluid cream heavy,cheese cream,"Cream, fluid, heavy whipping",cream cheese,1053,906,0.305,n,half and half
whipped pressurized cream topping,chopped green giant spinach frozen,"Cream, whipped, cream topping, pressurized",Frozen Chopped Spinach (Green Giant),1054,721,0.333,n,
cultured cream sour,cream sour,"Cream, sour, cultured",Sour cream,1056,787,0.691,,
nonfat fat free american cheese,cheese american,"Cheese, American, nonfat or fat free",American Cheese,1061,762,0.719,,
vegetable oil substitute soy liquid hydrogenated cream protein,vegetable juice,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",Vegetable juice,1067,234,0.393,n,
substitute cream powdered,powder protein,"Cream substitute, powdered",Protein powder,1069,778,0.339,n,
cultured imitation cream sour,cream sour,"Sour cream, imitation, cultured",Sour cream,1074,787,0.539,n,
milk milkfat d added whole vitamin 325,milk whole,"Milk, whole, 3.25% milkfat, with added vitamin D",Whole milk,1077,239,0.614,,
milk fat milkfat d added 2 fluid reduced a vitamin,milk whole,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Whole milk,1079,239,0.414,,
1 milk milkfat d lowfat added fluid a vitamin,chocolate milk lowfat,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Lowfat chocolate milk,1082,238,0.53,n,
nonfat milk d fat skim added free fluid a vitamin,chocolate milk lowfat,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Lowfat chocolate milk,1085,238,0.286,n,
milk lowfat fluid buttermilk cultured,chocolate milk lowfat,"Milk, buttermilk, fluid, cultured, lowfat",Lowfat chocolate milk,1088,238,0.491,n,
milk d added dry whole vitamin,milk whole,"Milk, dry, whole, with added vitamin D",Whole milk,1090,239,0.601,n,
nonfat milk without d added dry a vitamin regular,milk whole,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",Whole milk,1091,239,0.304,n,
nonfat milk d instant added dry a vitamin,soy milk,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",Soy milk,1092,228,0.295,n,
milk dried buttermilk,soy milk,"Milk, buttermilk, dried",Soy milk,1094,228,0.522,n,
milk d added fluid vitamin goat,milk whole,"Milk, goat, fluid, with added vitamin D",Whole milk,1106,239,0.325,n,
acid dried whey,dried apricot,"Whey, acid, dried",Dried apricots,1113,525,0.329,n,Protein powder
dried whey sweet,cherry sweet whole,"Whey, sweet, dried",Whole sweet cherry,1115,85,0.462,n,Protein powder
whole milk plain yogurt,yogurt,"Yogurt, plain, whole milk",Yogurt,1116,788,0.657,,
fat low plain yogurt,yogurt,"Yogurt, plain, low fat",Yogurt,1117,788,0.73,,
